id,title,end,entity_group,ner_score,start,word,linked_entity,linked_entity_language,nel_score,wikidata_id
39, [START] ARD [END] : Krieg um die politische Deutungshoheit im Lande,3.0,ORG,0.9980460405349731,0.0,ARD,ARD,de,-0.364232987165451,Q49653
40,Die langsame Zersetzung der Republik in  [START] Frankreich [END] ,50.0,LOC,0.9997689127922058,40.0,Frankreich,Frankreich,de,-0.1043285578489303,Q142
43,Wege der vitalisierten Demokratie in  [START] Österreich [END] ,47.0,LOC,0.9987001419067384,37.0,Österreich,Österreich,de,-0.1295198053121566,Q40
44, [START] Indien [END] : Rechtsruck in Neu-Delhi unter Modi II,6.0,LOC,0.9999488592147828,0.0,Indien,Indien,de,-0.153323546051979,Q668
44,Indien: Rechtsruck in  [START] Neu-Delhi [END]  unter Modi II,31.0,LOC,0.9999183416366576,22.0,Neu-Delhi,Neu-Delhi,de,-0.0847814604640007,Q987
44,Indien: Rechtsruck in Neu-Delhi unter  [START] Modi II [END] ,45.0,PER,0.9998799562454224,38.0,Modi II,Narendra Modi,de,-0.1267354041337967,Q1058
47,Krank:  [START] Deutschland [END]  braucht mindestens 15 Millionen Fachkräfte,18.0,LOC,0.9997820258140564,7.0,Deutschland,Deutschland,de,-0.0972252786159515,Q183
50,Das Ringen um  [START] Afrika [END] : Große Koalition verlängert Bundeswehreinsatz in Mali,20.0,LOC,0.999909281730652,14.0,Afrika,Afrika,de,-0.2115691006183624,Q15
50,Das Ringen um Afrika: Große Koalition verlängert Bundeswehreinsatz in  [START] Mali [END] ,74.0,LOC,0.9999258518218994,70.0,Mali,Mali,de,-0.1475944817066192,Q912
52, [START] Sozialdemokraten [END] : Nach 150 Jahren greift die Demenz,16.0,ORG,0.9999887347221376,0.0,Sozialdemokraten,Sozialdemokratische Partei Österreichs,de,-0.181101992726326,Q179111
58, [START] Berliner [END]  Nachtleben - Nachdenken über Hedonismus und Gemeinschaft,8.0,MISC,0.9999204874038696,0.0,Berliner,Berlin,de,-0.466911107301712,Q64
62, [START] Julian Assange [END]  wird vergessen gemacht,14.0,PER,0.999819278717041,0.0,Julian Assange,Julian Assange,de,-0.0810098052024841,Q360
64,Wie aus Geldern für Flüchtlinge Spenden für die  [START] AfD [END]  wurden,51.0,ORG,0.9999415278434752,48.0,AfD,Alternative für Deutschland,de,-0.0967438146471977,Q6721203
65,Geisterbahn der Sozialpolitik: Ein Blick nach  [START] Österreich [END] ,56.0,LOC,0.9986573457717896,46.0,Österreich,Österreich,de,-0.1076913177967071,Q40
68, [START] Joe Biden [END]  Imperator: Sleepy Creepy Joe`s erste Stolperer im Amt,9.0,PER,0.9997054934501648,0.0,Joe Biden,Joe Biden,de,-0.0833971202373504,Q6279
71," [START] Türkei [END] , Proteste, Unterdrückung, Journalismus, Migration",6.0,LOC,0.9998942613601683,0.0,Türkei,Türkei,de,-0.0974622964859008,Q43
76, [START] Brüssel [END]  im Machtrausch: Zensur heißt jetzt Faktenprüfung,7.0,LOC,0.9998862743377686,0.0,Brüssel,Brüssel,de,-0.1064559370279312,Q9005
79, [START] Deutsche [END]  Rüstungsexporte 2019 so hoch wie nie zuvor,8.0,MISC,0.9998655319213868,0.0,Deutsche,Deutschland,de,-0.1802706867456436,Q183
81,"Der Reichtum  [START] Afrika [END] s, verfehlte Entwicklungshilfe und Reichtum der Machteliten",19.0,LOC,0.9999791383743286,13.0,Afrika,Afrika,de,-0.1346244812011718,Q15
83, [START] Pedro Sánchez [END]  in Senegal: Wie Spanien Fluchtursachen in Afrika bekämpfen will,13.0,PER,0.9999639391899108,0.0,Pedro Sánchez,Pedro Sánchez,de,-0.0906711742281913,Q6070218
83,Pedro Sánchez in  [START] Senegal [END] : Wie Spanien Fluchtursachen in Afrika bekämpfen will,24.0,LOC,0.9999667406082152,17.0,Senegal,Senegal,de,-0.1026395410299301,Q1041
83,Pedro Sánchez in Senegal: Wie  [START] Spanien [END]  Fluchtursachen in Afrika bekämpfen will,37.0,LOC,0.9993777275085448,30.0,Spanien,Spanien,de,-0.1473665237426757,Q29
83,Pedro Sánchez in Senegal: Wie Spanien Fluchtursachen in  [START] Afrika [END]  bekämpfen will,62.0,LOC,0.9999492168426514,56.0,Afrika,Afrika,de,-0.1577528119087219,Q15
85,Nach Gewalt in  [START] Amberg [END] : Bürgermeister berichtet von Bürgerwehren,21.0,LOC,0.9999728798866272,15.0,Amberg,Amberg,de,-0.0979706048965454,Q7042
86,Luftangriffe in  [START] Syrien [END] : Sieben Krankenhäuser in Idlib zerstört,22.0,LOC,0.99995219707489,16.0,Syrien,Syrien,de,-0.091188445687294,Q858
86,Luftangriffe in Syrien: Sieben Krankenhäuser in  [START] Idlib [END]  zerstört,53.0,LOC,0.9999672770500184,48.0,Idlib,Idlib,de,-0.1022030338644981,Q504657
87,Nach Großbrand in Moria: Bundesregierung bietet  [START] Griechenland [END]  Hilfe an,60.0,LOC,0.99980229139328,48.0,Griechenland,Griechenland,de,-0.0933016091585159,Q41
89, [START] Trump [END] s Ausfälle: Rassist? Hetzer!,5.0,PER,0.9989207983016968,0.0,Trump,Donald Trump,de,-0.0918605327606201,Q22686
90, [START] Seehofer [END]  in Ankara und Athen: Ein ganz herzliches Dankeschön des Bundesinnenministers,8.0,PER,0.9999697804450988,0.0,Seehofer,Horst Seehofer,de,-0.259814441204071,Q44612
90,Seehofer in  [START] Ankara [END]  und Athen: Ein ganz herzliches Dankeschön des Bundesinnenministers,18.0,LOC,0.9999548196792604,12.0,Ankara,Ankara,de,-0.0953799411654472,Q3640
90,Seehofer in Ankara und  [START] Athen [END] : Ein ganz herzliches Dankeschön des Bundesinnenministers,28.0,LOC,0.999912977218628,23.0,Athen,Athen,de,-0.1133255138993263,Q1524
91,Krise in  [START] Venezuela [END] : Vereinte Nationen rechnen mit bis zu fünf Millionen Flüchtlingen,18.0,LOC,0.9999662637710572,9.0,Venezuela,Venezuela,de,-0.0896909013390541,Q717
91,Krise in Venezuela:  [START] Vereinte Nation [END] en rechnen mit bis zu fünf Millionen Flüchtlingen,35.0,ORG,0.9999707341194152,20.0,Vereinte Nation,Vereinte Nationen,de,-0.2789736688137054,Q1065
92,Türkische  [START] Syrien [END] -Offensive: „Erdogan will unsere Allianz brechen“,16.0,MISC,0.9949994087219238,10.0,Syrien,Syrien,de,-0.1081147789955139,Q858
92,Türkische Syrien-Offensive: „ [START] Erdogan [END]  will unsere Allianz brechen“,36.0,PER,0.9995517730712892,29.0,Erdogan,Recep Tayyip Erdoğan,de,-0.0830112770199775,Q39259
93, [START] Macron [END]  zur Seenotrettung: 14 EU-Staaten stimmen Prinzip der Umverteilung von Flüchtlingen zu,6.0,PER,0.999958872795105,0.0,Macron,Emmanuel Macron,de,-0.1156832128763198,Q3052772
93,Macron zur Seenotrettung: 14  [START] EU [END] -Staaten stimmen Prinzip der Umverteilung von Flüchtlingen zu,31.0,MISC,0.999828577041626,29.0,EU,Europäische Union,de,-0.1313288509845733,Q458
94,Über  [START] Russlanddeutsche [END] : Die Unsichtbaren,21.0,MISC,0.9983991980552672,5.0,Russlanddeutsche,Russlanddeutsche,de,-0.1022922694683075,Q702193
95,TV-Kritik: „Anne Will“: Das hat es in einer  [START] deutschen [END]  Talkshow noch nicht gegeben,53.0,MISC,0.9999669790267944,44.0,deutschen,Deutschland,de,-0.0946925580501556,Q183
96,Abbas Khiders  [START] Irak [END] -Roman: Willkommen in der herzlichen Hölle,18.0,MISC,0.9995701909065248,14.0,Irak,Irak,de,-0.0979616716504097,Q796
97, [START] Macron [END] s Mittelmeer-Gipfel: Protest unter Palmen,6.0,PER,0.9895175099372864,0.0,Macron,Emmanuel Macron,de,-0.1714669913053512,Q3052772
98,Reihe „Mein Fenster zur Welt“:  [START] Mailand [END]  – Ein Zeitalter geht hier zu Ende,38.0,LOC,0.9999651908874512,31.0,Mailand,Mailand,de,-0.0959547609090805,Q490
99,Ziel  [START] Deutschland [END] : Zahl der Asylanträge steigt um ein Drittel,16.0,LOC,0.9996901750564576,5.0,Deutschland,Deutschland,de,-0.1021492257714271,Q183
100, [START] Syrien- [END] Konflikt: Trump will zwischen Türken und Kurden vermitteln,7.0,MISC,0.9872735738754272,0.0,Syrien-,Bürgerkrieg in Syrien seit 2011,de,-0.1222506389021873,Q178810
100,Syrien-Konflikt:  [START] Trump [END]  will zwischen Türken und Kurden vermitteln,22.0,PER,0.9997439980506896,17.0,Trump,Donald Trump,de,-0.0800977498292923,Q22686
101,Mit 558 Migranten an Bord: Geo Barents darf Hafen auf  [START] Sizilien [END]  anlaufen,62.0,LOC,0.9987247586250304,54.0,Sizilien,Sizilien,de,-0.0810910835862159,Q4951156
103," [START] FAZ.NET-Sprinter [END] : „Wir wollen aufstehen, aufeinander zugehen…“",16.0,MISC,0.9959936141967772,0.0,FAZ.NET-Sprinter,Frankfurter Allgemeine Zeitung,de,-0.2575383484363556,Q10184
104, [START] Libyen- [END] Konferenz in Berlin: Unter starken Männern,7.0,MISC,0.9954631924629213,0.0,Libyen-,Libyen,de,-0.1409169882535934,Q1016
104,Libyen-Konferenz in  [START] Berlin [END] : Unter starken Männern,26.0,LOC,0.9999756813049316,20.0,Berlin,Berlin,de,-0.1030266880989074,Q64
106,Mit 135 Migranten an Bord: Rettungsschiff der  [START] italienische [END] n Küstenwache darf nicht in Italien anlanden,58.0,MISC,0.9999383687973022,46.0,italienische,Italien,de,-0.13857302069664,Q38
106,Mit 135 Migranten an Bord: Rettungsschiff der italienischen Küstenwache darf nicht in  [START] Italien [END]  anlanden,93.0,LOC,0.9999287128448486,86.0,Italien,Italien,de,-0.0979801192879676,Q38
108,Kundgebung nach  [START] Hanau- [END] Anschlag: Die Toten mitten unter den Lebenden,22.0,MISC,0.9986812472343444,16.0,Hanau-,Hanau,de,-0.1368072032928466,Q3802
110,Leser fragen – wir antworten: Warum dürfen viele Millionen  [START] Amerikan [END] er nicht wählen?,67.0,MISC,0.9998431205749512,59.0,Amerikan,Vereinigte Staaten,de,-0.2329541444778442,Q30
113,Im  [START] Mittelmeer [END] : Zwei Schiffe mit Migranten blockiert,13.0,LOC,0.9999642372131348,3.0,Mittelmeer,Mittelmeer,de,-0.08445356041193,Q4918
114,Adriano und  [START] Xavier Naidoo [END] : Wie man zum Rassisten wird,25.0,PER,0.9998431205749512,12.0,Xavier Naidoo,Xavier Naidoo,de,-0.106667049229145,Q178391
115, [START] Deutschland [END]  und Frankreich: Gemeinsam gegen Windmühlen?,11.0,LOC,0.999630093574524,0.0,Deutschland,Deutschland,de,-0.111067920923233,Q183
115,Deutschland und  [START] Frankreich [END] : Gemeinsam gegen Windmühlen?,26.0,LOC,0.999433934688568,16.0,Frankreich,Frankreich,de,-0.0896409600973129,Q142
116,Illegale Migration:  [START] Trump [END]  verhängt Strafzölle gegen Mexiko,25.0,PER,0.9996090531349182,20.0,Trump,Donald Trump,de,-0.08140729367733,Q22686
117,Ankunft in  [START] Deutschland [END] : Sprechen Sie Deutsch!,22.0,LOC,0.999948024749756,11.0,Deutschland,Deutschland,de,-0.1013465970754623,Q183
117,Ankunft in Deutschland: Sprechen Sie  [START] Deutsch [END] !,44.0,MISC,0.9991440773010254,37.0,Deutsch,Deutsche Sprache,de,-0.1147041320800781,Q188
119,Ärger für  [START] Trump [END] : Kinder-Camps als Geldanlage,15.0,PER,0.9998595714569092,10.0,Trump,Donald Trump,de,-0.1250139027833938,Q22686
120,Zwischen  [START] Rom [END]  und Berlin: Ein kleiner Freundschaftsvertrag,12.0,LOC,0.9999589920043944,9.0,Rom,Rom,de,-0.1156772971153259,Q220
120,Zwischen Rom und  [START] Berlin [END] : Ein kleiner Freundschaftsvertrag,23.0,LOC,0.999966025352478,17.0,Berlin,Berlin,de,-0.2052707970142364,Q64
121,"Verteilung in der EU: Wie  [START] Brüssel [END]  nach Ländern sucht, die Migranten aufnehmen",33.0,LOC,0.999583661556244,26.0,Brüssel,Brüssel,de,-0.109016016125679,Q9005
124,75 Jahre  [START] Hessen [END] : Land mit tiefen Wurzeln,15.0,LOC,0.9999415278434752,9.0,Hessen,Hessen,de,-0.145577922463417,Q1199
125,Nach „Sea-Watch 3“: Rettungsschiff „Alex“ fährt in den Hafen von  [START] Lampedusa [END]  ein,74.0,LOC,0.9999437928199768,65.0,Lampedusa,Lampedusa,de,-0.0784081667661666,Q107338
126,Nach Kritik an  [START] Syrien [END] offensive: Erdogan droht EU mit Flüchtlingswelle,21.0,MISC,0.9997045397758484,15.0,Syrien,Syrien,de,-0.1086562201380729,Q858
126,Nach Kritik an Syrienoffensive:  [START] Erdogan [END]  droht EU mit Flüchtlingswelle,39.0,PER,0.9997462630271912,32.0,Erdogan,Recep Tayyip Erdoğan,de,-0.0995626673102378,Q39259
127,„Früchte des Zorns“ in  [START] Zürich [END] : Obst für alle im Stadttheater der Zukunft,29.0,LOC,0.9999332427978516,23.0,Zürich,Zürich,de,-0.0961537957191467,Q72
128,Flüchtlingslager in  [START] Frankreich [END] : Improvisiertes Restaurant,30.0,LOC,0.9999427795410156,20.0,Frankreich,Frankreich,de,-0.091117613017559,Q142
129, [START] Harvard- [END] Rede: Merkel gibt den Anti-Trump,8.0,MISC,0.9698681831359864,0.0,Harvard-,Harvard University,de,-0.0992359369993209,Q13371
129,Harvard-Rede:  [START] Merkel [END]  gibt den Anti-Trump,20.0,PER,0.996778666973114,14.0,Merkel,Angela Merkel,de,-0.086103655397892,Q567
130,"Flüchtlingslager Moria brennt: „Erbärmlich, dass die  [START] EU [END]  so lange zugeschaut hat“",55.0,ORG,0.9998261332511902,53.0,EU,Europäische Union,de,-0.1605956554412841,Q458
132, [START] Seoul [END]  ehrt IOC-Präsidenten: Friedenspreis für Thomas Bach,5.0,LOC,0.9996058344841005,0.0,Seoul,Seoul,de,-0.0905699729919433,Q8684
132,Seoul ehrt  [START] IOC-Präsident [END] en: Friedenspreis für Thomas Bach,24.0,MISC,0.9625843167304992,11.0,IOC-Präsident,Internationales Olympisches Komitee,de,-0.0990028753876686,Q40970
132,Seoul ehrt IOC-Präsidenten: Friedenspreis für  [START] Thomas Bach [END] ,57.0,PER,0.9999759793281556,46.0,Thomas Bach,Thomas Bach,de,-0.0892026424407959,Q72245
133, [START] Rom [END]  und private Hilfsschiffe: Nur eine scheinbare Abkehr von Salvinis Linie,3.0,LOC,0.9999175071716307,0.0,Rom,Rom,de,-0.1054904907941818,Q220
134,Migrationspakt: Die  [START] EU [END]  steht auf dem Spiel,22.0,LOC,0.9898187518119812,20.0,EU,Europäische Union,de,-0.1503673791885376,Q458
135,Coronavirus in  [START] Italien [END] : Die Reifeprüfung,22.0,LOC,0.9999576807022096,15.0,Italien,Italien,de,-0.0946125909686088,Q38
136,Drohungen unter Nachbarn:  [START] Washington [END]  streitet mit Mexiko über Zölle und Migranten,36.0,LOC,0.9996960163116456,26.0,Washington,"Washington, D.C.",de,-0.1524754464626312,Q61
136,Drohungen unter Nachbarn: Washington streitet mit  [START] Mexiko [END]  über Zölle und Migranten,56.0,LOC,0.9990328550338744,50.0,Mexiko,Mexiko,de,-0.0930089578032493,Q96
137,Schriftsteller  [START] Yishai Sarid [END] : Wie erinnern wir an den Holocaust?,27.0,PER,0.9999841451644896,15.0,Yishai Sarid,Yishai Sarid,de,-0.1191699430346489,Q2600402
137,Schriftsteller Yishai Sarid: Wie erinnern wir an den  [START] Holocaust [END] ?,62.0,MISC,0.9552612900733948,53.0,Holocaust,Holocaust,de,-0.0958416238427162,Q2763
138,Migrantenboot vor den  [START] Kanaren [END] : Siebzehn Leichen an Bord,29.0,LOC,0.9998102188110352,22.0,Kanaren,Kanarische Inseln,de,-0.0906261503696441,Q5813
140, [START] AfD [END]  startet Europawahlkampf: Gauland warnt vor deutschem EU-Austritt,3.0,ORG,0.9999478459358216,0.0,AfD,Alternative für Deutschland,de,-0.085226833820343,Q6721203
140,AfD startet  [START] Europa [END] wahlkampf: Gauland warnt vor deutschem EU-Austritt,18.0,MISC,0.9977717995643616,12.0,Europa,Europa,de,-0.1276697516441345,Q46
140,AfD startet Europawahlkampf:  [START] Gauland [END]  warnt vor deutschem EU-Austritt,36.0,PER,0.9999151229858398,29.0,Gauland,Gauland,de,-0.1074778214097023,Q1670311
140,AfD startet Europawahlkampf: Gauland warnt vor  [START] deutsche [END] m EU-Austritt,55.0,MISC,0.9999688863754272,47.0,deutsche,Deutschland,de,-0.3187742829322815,Q183
140,AfD startet Europawahlkampf: Gauland warnt vor deutschem  [START] EU- [END] Austritt,60.0,MISC,0.9636303186416626,57.0,EU-,Europäische Union,de,-0.1018707379698753,Q458
141, [START] Türkei [END] : In einer Woche rund 3000 „illegale Migranten“ aufgegriffen,6.0,LOC,0.9998366832733154,0.0,Türkei,Türkei,de,-0.1026745289564132,Q43
143, [START] AfD [END]  und Europawahlkampf: Gaulands Abflussbecken,3.0,ORG,0.9999613761901855,0.0,AfD,Alternative für Deutschland,de,-0.0890044942498207,Q6721203
143,AfD und  [START] Europa [END] wahlkampf: Gaulands Abflussbecken,14.0,MISC,0.9991511106491088,8.0,Europa,Europa,de,-0.1031014174222946,Q46
143,AfD und Europawahlkampf:  [START] Gaulands [END]  Abflussbecken,33.0,PER,0.992339253425598,25.0,Gaulands,Gauland,de,-0.3192230761051178,Q1670311
144,Neues Lager auf  [START] Lesbos [END] ?: Brüssel bereit zum Wiederaufbau,22.0,LOC,0.9998775720596312,16.0,Lesbos,Lesbos,de,-0.0836367979645729,Q128087
144,Neues Lager auf Lesbos?:  [START] Brüssel [END]  bereit zum Wiederaufbau,32.0,LOC,0.9999170303344728,25.0,Brüssel,Brüssel,de,-0.1120453476905822,Q9005
145,Auf der Fahrt übers  [START] Mittelmeer [END] : 115 Menschen nach Bootsunglück vor libyscher Küste vermisst,30.0,LOC,0.999678671360016,20.0,Mittelmeer,Mittelmeer,de,-0.081284761428833,Q4918
145,Auf der Fahrt übers Mittelmeer: 115 Menschen nach Bootsunglück vor  [START] liby [END] scher Küste vermisst,71.0,MISC,0.9999127388000488,67.0,liby,Libyen,de,-0.250152051448822,Q1016
147, [START] Trump [END]  heizt Menge an: „Schickt sie zurück!“,5.0,PER,0.9985816478729248,0.0,Trump,Donald Trump,de,-0.0781735628843307,Q22686
148,Vor der Küste  [START] Griechenlands [END] : Dutzende Migranten in der Ägäis ertrunken,27.0,LOC,0.998139262199402,14.0,Griechenlands,Griechenland,de,-0.0911010652780532,Q41
148,Vor der Küste Griechenlands: Dutzende Migranten in der  [START] Ägäis [END]  ertrunken,60.0,LOC,0.9999716281890868,55.0,Ägäis,Ägäisches Meer,de,-0.0748144090175628,Q34575
150,„Humanitären Beitrag leisten“:  [START] Frankfurt [END]  soll Flüchtlinge aus Moria aufnehmen,40.0,LOC,0.9999630451202391,31.0,Frankfurt,Frankfurt am Main,de,-0.1235374137759208,Q1794
152," [START] Trump [END]  an der Grenze zu Mexiko: „Unser Land ist voll, also kehrt um“",5.0,PER,0.9990153312683104,0.0,Trump,Donald Trump,de,-0.0809297934174537,Q22686
152,"Trump an der Grenze zu  [START] Mexiko [END] : „Unser Land ist voll, also kehrt um“",29.0,LOC,0.9994944334030152,23.0,Mexiko,Mexiko,de,-0.0897757411003112,Q96
154, [START] Trump [END] s Politik: „Mad Man“ im Handelskrieg,5.0,PER,0.9995379447937012,0.0,Trump,Donald Trump,de,-0.0847963318228721,Q22686
157,Migrationspolitik: Maaßen kritisiert  [START] Merkel [END]  in Ungarns Staatsfernsehen,43.0,PER,0.9997977614402772,37.0,Merkel,Angela Merkel,de,-0.0772249847650528,Q567
157,Migrationspolitik: Maaßen kritisiert Merkel in  [START] Ungarn [END] s Staatsfernsehen,53.0,LOC,0.9995787739753724,47.0,Ungarn,Ungarn,de,-0.0933785364031791,Q28
158," [START] Kurden [END] -Chef Barzani: „Europa muss mehr tun, damit sich eine Krise wie in Belarus nicht wiederholt“",6.0,MISC,0.9975694417953492,0.0,Kurden,Kurden,de,-0.1155438423156738,Q12223
158,"Kurden-Chef  [START] Barzani [END] : „Europa muss mehr tun, damit sich eine Krise wie in Belarus nicht wiederholt“",19.0,PER,0.9999725818634032,12.0,Barzani,Mustafa Barzani,de,-0.2440629452466964,Q368858
158,"Kurden-Chef Barzani: „ [START] Europa [END]  muss mehr tun, damit sich eine Krise wie in Belarus nicht wiederholt“",28.0,LOC,0.999629020690918,22.0,Europa,Europa,de,-0.0984215214848518,Q46
158,"Kurden-Chef Barzani: „Europa muss mehr tun, damit sich eine Krise wie in  [START] Belarus [END]  nicht wiederholt“",80.0,LOC,0.999810516834259,73.0,Belarus,Weißrussland,de,-0.0731638148427009,Q184
159, [START] Italien [END] s Umgang mit Migranten: Salvini macht keine Politik,7.0,LOC,0.9992315769195556,0.0,Italien,Italien,de,-0.093647189438343,Q38
159,Italiens Umgang mit Migranten:  [START] Salvini [END]  macht keine Politik,38.0,PER,0.999861478805542,31.0,Salvini,Matteo Salvini,de,-0.1057590469717979,Q1055449
162,Flüchtlinge auf Moria:  [START] Hessen [END]  bekräftigt Hilfsbereitschaft und wartet auf den Bund,29.0,LOC,0.9999452829360962,23.0,Hessen,Hessen,de,-0.1727190464735031,Q1199
163,Nach „Fall Miri“:  [START] Seehofer [END]  plant schärfere Grenzkontrollen,26.0,PER,0.9999504089355468,18.0,Seehofer,Horst Seehofer,de,-0.446118026971817,Q44612
164,Studie „Junges  [START] Europa [END]  2019“: „Die Generation Europa fordert mehr Gehör und mehr Mitsprache“,21.0,LOC,0.9980689883232116,15.0,Europa,Europa,de,-0.0986192673444747,Q46
164,Studie „Junges Europa 2019“: „Die Generation  [START] Europa [END]  fordert mehr Gehör und mehr Mitsprache“,51.0,MISC,0.9819745421409608,45.0,Europa,Europa,de,-0.0952667742967605,Q46
166,Zukunft der Europäischen  [START] Union [END] : Keine Lösung ist keine Option,30.0,ORG,0.9831199049949646,25.0,Union,Europäische Union,de,-0.2656782269477844,Q458
167,Wegen Hackerangriffs angeklagt:  [START] Assange [END]  drohen bis zu fünf Jahre Haft in Amerika,39.0,PER,0.9986756443977356,32.0,Assange,Julian Assange,de,-0.0854802951216697,Q360
167,Wegen Hackerangriffs angeklagt: Assange drohen bis zu fünf Jahre Haft in  [START] Amerika [END] ,80.0,LOC,0.9999566078186036,73.0,Amerika,Vereinigte Staaten,de,-0.1519332379102707,Q30
168, [START] Demokraten [END]  in Amerika: Wahlkampf der Identitätspolitiker?,10.0,ORG,0.9953881502151488,0.0,Demokraten,Demokratische Partei (Vereinigte Staaten),de,-0.0859416425228118,Q29552
168,Demokraten in  [START] Amerika [END] : Wahlkampf der Identitätspolitiker?,21.0,LOC,0.999964475631714,14.0,Amerika,Vereinigte Staaten,de,-0.2316075563430786,Q30
169, [START] Trump [END]  droht Mexiko: „Ich spiele keine Spiele“,5.0,PER,0.9934317469596864,0.0,Trump,Donald Trump,de,-0.0738745182752609,Q22686
171,Mit der „ [START] Alan Kurdi [END] “: Sea-Eye rettet 40 Menschen vor Libyen,19.0,MISC,0.968508780002594,9.0,Alan Kurdi,Alan Kurdi,de,-0.1043798327445983,Q20900441
171,Mit der „Alan Kurdi“: Sea-Eye rettet 40 Menschen vor  [START] Libyen [END] ,59.0,LOC,0.9997714161872864,53.0,Libyen,Libyen,de,-0.1000426635146141,Q1016
172, [START] Mattarella [END]  bei Macron in Paris: Die Chemie zwischen den Nachbarn stimmt,10.0,PER,0.9999637603759766,0.0,Mattarella,Sergio Mattarella,de,-0.3211134374141693,Q3956186
172,Mattarella bei Macron in  [START] Paris [END] : Die Chemie zwischen den Nachbarn stimmt,30.0,LOC,0.999912977218628,25.0,Paris,Paris,de,-0.1313329190015792,Q90
175,"Stopp von Nord Stream 2, Doppelpässe und viel Konfliktstoff:  [START] Grüne [END]  präsentieren Wahlprogrammentwurf",66.0,ORG,0.9997795820236206,61.0,Grüne,Bündnis 90/Die Grünen,de,-0.0933122262358665,Q49766
176,„Wir haben sie erwartet“:  [START] Österreich [END]  hätte weißrussische Sprinterin Timanowskaja aufgenommen,36.0,LOC,0.9997196793556212,26.0,Österreich,Österreich,de,-0.1165703386068344,Q40
176,„Wir haben sie erwartet“: Österreich hätte  [START] weißrus [END] sische Sprinterin Timanowskaja aufgenommen,50.0,MISC,0.9990837574005128,43.0,weißrus,Weißrussland,de,-0.0799141451716423,Q184
177,Migrationskrise:  [START] Poln [END] ische Sicherheitskräfte bringen Flüchtlingsgruppe von Grenze weg – Medien,21.0,MISC,0.9974189400672911,17.0,Poln,Polen,de,-0.1461805254220962,Q36
