id,title,end,entity_group,score,start,word
10,"Mila Kunis, Ashton Kutcher fundraiser for Ukraine refugees tops $6.8 million",10.0,PER,0.9998877048492432,0.0,Mila Kunis
10,"Mila Kunis, Ashton Kutcher fundraiser for Ukraine refugees tops $6.8 million",26.0,PER,0.9998546838760376,12.0,Ashton Kutcher
10,"Mila Kunis, Ashton Kutcher fundraiser for Ukraine refugees tops $6.8 million",49.0,LOC,0.9999983310699463,42.0,Ukraine
11,Mexico President Lopez Obrador: US.-Mexico border ‘out of control’,6.0,LOC,0.9999953508377075,0.0,Mexico
11,Mexico President Lopez Obrador: US.-Mexico border ‘out of control’,30.0,PER,0.9999904036521912,17.0,Lopez Obrador
11,Mexico President Lopez Obrador: US.-Mexico border ‘out of control’,36.0,MISC,0.6636389493942261,32.0,US-
11,Mexico President Lopez Obrador: US.-Mexico border ‘out of control’,42.0,LOC,0.9571270942687988,36.0,Mexico
12,Migrants stuck in Mexico hopeful U.S. will lift COVID-era expulsion policy at border,24.0,LOC,0.9999971389770508,18.0,Mexico
12,Migrants stuck in Mexico hopeful U.S. will lift COVID-era expulsion policy at border,36.0,LOC,0.999994158744812,33.0,US
12,Migrants stuck in Mexico hopeful U.S. will lift COVID-era expulsion policy at border,57.0,MISC,0.9725155234336853,48.0,COVID-era
13,Afghan basketball star finds hope in Spain after fleeing Taliban,6.0,MISC,0.8726921081542969,0.0,Afghan
13,Afghan basketball star finds hope in Spain after fleeing Taliban,42.0,LOC,0.9999985694885254,37.0,Spain
13,Afghan basketball star finds hope in Spain after fleeing Taliban,64.0,ORG,0.7760450839996338,57.0,Taliban
16,Biden immigration policies under scrutiny after migrant deaths in Texas,5.0,PER,0.999973475933075,0.0,Biden
16,Biden immigration policies under scrutiny after migrant deaths in Texas,71.0,LOC,0.9999948740005493,66.0,Texas
17,Illegal immigrant acquitted of Kate Steinle’s death,43.0,PER,0.9999866485595703,31.0,Kate Steinle
18,DHS Secy. Mayorkas warns migrants not to travel to southern border,8.0,ORG,0.9965273141860962,0.0,DHS Secy
18,DHS Secy. Mayorkas warns migrants not to travel to southern border,18.0,PER,0.9998809099197388,10.0,Mayorkas
19,2nd bus from Texas drops off illegal immigrants in D.C.,18.0,LOC,0.9999961853027344,13.0,Texas
19,2nd bus from Texas drops off illegal immigrants in D.C.,54.0,LOC,0.9999904632568359,51.0,D.C
20,Baby Formula Shortage: What the FDA isn’t telling you,35.0,ORG,0.9999940395355225,32.0,FDA
21,White House’s end to Title 42 to be argued in court as end date looms,11.0,LOC,0.9999862909317017,0.0,White House
21,White House’s end to Title 42 to be argued in court as end date looms,29.0,MISC,0.9999650716781616,21.0,Title 42
24,SCOTUS Sides With Biden Over Trump's 'Remain In Mexico' Policy,6.0,ORG,0.9999902844429016,0.0,SCOTUS
24,SCOTUS Sides With Biden Over Trump's 'Remain In Mexico' Policy,23.0,PER,0.9999942183494568,18.0,Biden
24,SCOTUS Sides With Biden Over Trump's 'Remain In Mexico' Policy,34.0,PER,0.9999600648880005,29.0,Trump
24,SCOTUS Sides With Biden Over Trump's 'Remain In Mexico' Policy,54.0,LOC,0.9999700784683228,48.0,Mexico
25,Humanitarian Crisis At The Border Is Worsening But Biden Doesn't Care,33.0,LOC,0.9989907145500183,23.0,The Border
25,Humanitarian Crisis At The Border Is Worsening But Biden Doesn't Care,56.0,PER,0.9999899864196777,51.0,Biden
26,"In South Texas, The Border Crisis Is Becoming A Constitutional Crisis",14.0,LOC,0.9999657869338989,3.0,South Texas
27,"Left Unchecked, Biden’s Border Crisis Will Become The New Normal",21.0,PER,0.9999787211418152,16.0,Biden
28,"On Remote Texas Borderland, The World Is Crossing The Rio Grande",15.0,LOC,0.9954739809036255,3.0,Remote Texas
28,"On Remote Texas Borderland, The World Is Crossing The Rio Grande",64.0,LOC,0.9966731071472168,54.0,Rio Grande
29,"No Matter If Title 42 Stays Or Goes, A Massive Migrant Influx Is Coming",21.0,MISC,0.9853109121322632,13.0,Title 42
30,The Biden Border Crisis Is Real And It’s About To Get Much Worse,9.0,MISC,0.9962770938873291,4.0,Biden
31,"Guatemala President Blames Biden For Border Crisis, Kamala Harris Deflects, Blaming Climate Change",9.0,LOC,0.9999922513961792,0.0,Guatemala
31,"Guatemala President Blames Biden For Border Crisis, Kamala Harris Deflects, Blaming Climate Change",32.0,PER,0.9999879002571106,27.0,Biden
31,"Guatemala President Blames Biden For Border Crisis, Kamala Harris Deflects, Blaming Climate Change",65.0,PER,0.9999788403511047,52.0,Kamala Harris
32,The ‘Root Causes’ Of The Migrant Crisis Are Biden’s Border Policies,49.0,PER,0.999976396560669,44.0,Biden
33,Biden Ramps Up Border Patrol Whipping Lie: 'It's Outrageous',5.0,PER,0.9999854564666748,0.0,Biden
33,Biden Ramps Up Border Patrol Whipping Lie: 'It's Outrageous',28.0,ORG,0.9919381141662598,15.0,Border Patrol
34,How Americans Are Rescuing The People Biden Left Behind In Afghanistan,12.0,MISC,0.9986786246299744,4.0,American
34,How Americans Are Rescuing The People Biden Left Behind In Afghanistan,43.0,PER,0.9999893307685852,38.0,Biden
34,How Americans Are Rescuing The People Biden Left Behind In Afghanistan,70.0,LOC,0.9999954700469971,59.0,Afghanistan
35,DeSantis Blocks Biden Admin's International Child-Trafficking Scheme In Florida,8.0,PER,0.999976396560669,0.0,DeSantis
35,DeSantis Blocks Biden Admin's International Child-Trafficking Scheme In Florida,21.0,PER,0.9998551607131958,16.0,Biden
35,DeSantis Blocks Biden Admin's International Child-Trafficking Scheme In Florida,79.0,LOC,0.9999945163726807,72.0,Florida
36,"Border Dispatch, Part I: 'Everyone Who Arrives Here Has Paid'",10.0,MISC,0.7347595691680908,0.0,Border Dis
36,"Border Dispatch, Part I: 'Everyone Who Arrives Here Has Paid'",13.0,ORG,0.7715180516242981,10.0,pat
36,"Border Dispatch, Part I: 'Everyone Who Arrives Here Has Paid'",15.0,MISC,0.7558290362358093,13.0,ch
37,Kamala Called Migrant Camps An 'Abuse' Until She Took Charge,6.0,PER,0.9998835325241089,0.0,Kamala
39,The Bishops' Misapplication Of Catholic Charity On Our Southern Border,39.0,MISC,0.9999881982803345,31.0,Catholic
40,Biden's Open Border Policies Are Deadly,5.0,PER,0.9999862909317017,0.0,Biden
41,Border States Need To Override Biden And Secure Their Own Borders,36.0,PER,0.9999609589576721,31.0,Biden
42,Illegal Immigration Is About To Surge. Biden's Plan Is To Open The Border,44.0,PER,0.9999886751174927,39.0,Biden
43,Lawsuit: Universities Are Helping Foreign Students Illegally Enter The U.S.,74.0,LOC,0.99992436170578,71.0,U.S
44,More Than 221K Migrants Caught Illegally Crossing U.S. Border In March,53.0,LOC,0.9999608993530273,50.0,U.S
45,Biden Admin Hiding Flights Scattering Illegal Migrants Around The Country,5.0,PER,0.9997957348823547,0.0,Biden
46,Gov. Abbott Is Staging Political Theater As The Border Explodes,11.0,PER,0.9999818205833435,5.0,Abbott
47,Debunking Biden's SOTU Border Baloney Line By Line,15.0,PER,0.9999771118164062,10.0,Biden
47,Debunking Biden's SOTU Border Baloney Line By Line,22.0,MISC,0.7687997817993164,18.0,SOTU
48,"Biden Weakens Border As Illegal Crossings, Cartel Unrest Grows",5.0,PER,0.9999788403511047,0.0,Biden
49,"Border Dispatch, Part II: 'The Cartel Controls Everything Here Now'",15.0,ORG,0.9533795118331909,0.0,Border Dispatch
50,Biden Is The Worst Left-Wing Culture Warrior Since Obama,5.0,PER,0.9999946355819702,0.0,Biden
50,Biden Is The Worst Left-Wing Culture Warrior Since Obama,56.0,PER,0.999976634979248,51.0,Obama
51,Afghan Family Abandoned By Biden Finally Reunited With American Dad,3.0,MISC,0.9994949102401733,0.0,Afg
51,Afghan Family Abandoned By Biden Finally Reunited With American Dad,32.0,PER,0.9999912977218628,27.0,Biden
51,Afghan Family Abandoned By Biden Finally Reunited With American Dad,63.0,MISC,0.9998782873153687,55.0,American
52,Biden's Border Circus Surpassed 2 Million Arrests In 2021 -- And He's Going For A Second Record-Breaking Year,5.0,PER,0.9999826550483704,0.0,Biden
52,Biden's Border Circus Surpassed 2 Million Arrests In 2021 -- And He's Going For A Second Record-Breaking Year,21.0,ORG,0.9136836528778076,8.0,Border Circus
53,"To Secure The Border, Texas Gov. Greg Abbott Should Shut It Down",27.0,LOC,0.9999914169311523,22.0,Texas
53,"To Secure The Border, Texas Gov. Greg Abbott Should Shut It Down",44.0,PER,0.9999880790710449,33.0,Greg Abbott
55,Poll Finds All Those People Moving To Texas Aren't Voting For Democrats,43.0,LOC,0.9999929666519165,38.0,Texas
55,Poll Finds All Those People Moving To Texas Aren't Voting For Democrats,70.0,MISC,0.9999881982803345,62.0,Democrat
56,"Abbott’s DC Caravan Gimmick Won’t Secure The Border, But This Will",6.0,PER,0.9976129531860352,0.0,Abbott
56,"Abbott’s DC Caravan Gimmick Won’t Secure The Border, But This Will",11.0,LOC,0.9999697208404541,9.0,DC
58,Australia Admits Letting Djokovic Stay Would've Undermined Police State,9.0,LOC,0.9999974966049194,0.0,Australia
58,Australia Admits Letting Djokovic Stay Would've Undermined Police State,33.0,PER,0.9999892115592957,25.0,Djokovic
59,"Mass Immigration Turned California Blue, And Your State Might Be Next",34.0,LOC,0.9999903440475464,24.0,California
60,United Nations Grantee Uses U.S. Tax Dollars To Fund Illegal Immigration,14.0,ORG,0.9999924898147583,0.0,United Nations
60,United Nations Grantee Uses U.S. Tax Dollars To Fund Illegal Immigration,32.0,LOC,0.9990546703338623,28.0,US.
61,"If Biden Cared About Border Security, ICE Would Arrest More Illegals",8.0,PER,0.9999781847000122,3.0,Biden
61,"If Biden Cared About Border Security, ICE Would Arrest More Illegals",41.0,ORG,0.9998047351837158,38.0,ICE
62,7 Media Lies Katie Couric Would Decry If She Really Hated Disinformation,25.0,PER,0.9999920129776001,13.0,Katie Couric
65,Biden Admin Released A Border-Crossing Terrorist Suspect Into The U.S.,5.0,PER,0.9999558925628662,0.0,Biden
65,Biden Admin Released A Border-Crossing Terrorist Suspect Into The U.S.,69.0,LOC,0.9999729990959167,66.0,U.S
66,Kamala Harris Laughs When Asked If She Plans To Tour Southern Border,13.0,PER,0.9999697804450989,0.0,Kamala Harris
66,Kamala Harris Laughs When Asked If She Plans To Tour Southern Border,68.0,LOC,0.9999675750732422,53.0,Southern Border
68,Democratic Rep. Blasts Federal Government For Leaving Border Patrol Agents In The Dust Amid Border Crisis,14.0,MISC,0.9559671878814697,0.0,Democratic Rep
69,"Illegal Immigrants Break Into Texas Home, Steal Guns, Ammo And Food",35.0,LOC,0.9999915361404419,30.0,Texas
70,ICE Officials Made The Lowest Number Of Arrests In At Least A Decade: REPORT,3.0,ORG,0.9997537136077881,0.0,ICE
71,‘On The Move Again’ — Biden Focuses Joint Session Address On Jobs And Families,27.0,PER,0.9999908208847046,22.0,Biden
72,"EXCLUSIVE: ‘It’s Not Fair To Us, The Taxpayers’: Del Rio Residents Blast Biden On Handling Of The Border Crisis",56.0,LOC,0.9999196529388428,49.0,Del Rio
72,"EXCLUSIVE: ‘It’s Not Fair To Us, The Taxpayers’: Del Rio Residents Blast Biden On Handling Of The Border Crisis",78.0,PER,0.9999681711196899,73.0,Biden
73,"Special Envoy For Haiti Resigns Over Biden’s ‘Inhumane, Counterproductive Decision To Deport’ Haitians",23.0,LOC,0.9999820590019226,18.0,Haiti
73,"Special Envoy For Haiti Resigns Over Biden’s ‘Inhumane, Counterproductive Decision To Deport’ Haitians",42.0,PER,0.9999873042106628,37.0,Biden
73,"Special Envoy For Haiti Resigns Over Biden’s ‘Inhumane, Counterproductive Decision To Deport’ Haitians",97.0,MISC,0.9953659772872925,94.0,Hai
74,Gov. Abbott Approves Using State Vehicles As ‘Steel Barrier’ To Stop Surge In Border Crossings,11.0,PER,0.9999802112579346,5.0,Abbott
75,56 House Republicans Call On Biden To Fire Harris From Border Crisis Role,8.0,ORG,0.9996107220649719,3.0,House
75,56 House Republicans Call On Biden To Fire Harris From Border Crisis Role,19.0,MISC,0.9743503332138062,9.0,Republican
75,56 House Republicans Call On Biden To Fire Harris From Border Crisis Role,34.0,PER,0.9999854564666748,29.0,Biden
75,56 House Republicans Call On Biden To Fire Harris From Border Crisis Role,49.0,PER,0.999981164932251,43.0,Harris
75,56 House Republicans Call On Biden To Fire Harris From Border Crisis Role,59.0,MISC,0.7116367816925049,55.0,Bord
76,EXCLUSIVE: Guatemalan President Says Biden‘s Border ‘Confusion’ Is Encouraging Smugglers To Exploit Children,20.0,MISC,0.9998989105224609,11.0,Guatemala
76,EXCLUSIVE: Guatemalan President Says Biden‘s Border ‘Confusion’ Is Encouraging Smugglers To Exploit Children,42.0,PER,0.9999915957450867,37.0,Biden
77,‘Sanctuary State’ Governor Faces Backlash From Pro-Illegal Immigration Groups Over COVID-19 Relief Benefits,91.0,MISC,0.9999439716339111,83.0,COVID-19
78,SMUGGLER’S PARADISE: How American Teenagers Are Being Lured Into Human Trafficking On Social Media,33.0,MISC,0.9999680519104004,25.0,American
79,Video Appears To Show Border Agents On Horseback Herding Haitian Migrants,64.0,MISC,0.952959418296814,57.0,Haitian
80,Immigration Attorneys Refuse To Be ‘Complicit’ In Biden’s Restarted Trump-Era Migrant Removal Program,55.0,PER,0.9999849796295166,50.0,Biden
80,Immigration Attorneys Refuse To Be ‘Complicit’ In Biden’s Restarted Trump-Era Migrant Removal Program,77.0,MISC,0.9994946718215942,68.0,Trump-Era
81,"‘They’re Sick Of The Country’: Number Of Russians Seeking Asylum In The US Jumps Amid Pandemic, Protests",48.0,MISC,0.9999849796295166,41.0,Russian
81,"‘They’re Sick Of The Country’: Number Of Russians Seeking Asylum In The US Jumps Amid Pandemic, Protests",74.0,LOC,0.9999879598617554,72.0,US
82,What Will It Mean For The Border If Biden Ends The Immediate Expulsion Of Migrants?,41.0,PER,0.999991774559021,36.0,Biden
83,Biden: Afghan Refugees ‘Are All Over The Country. I’m Sure I Will Be Seeing Some Of Them’,5.0,PER,0.9999895691871643,0.0,Biden
83,Biden: Afghan Refugees ‘Are All Over The Country. I’m Sure I Will Be Seeing Some Of Them’,13.0,MISC,0.9999616742134094,7.0,Afghan
84,Daily Caller Field Reporter Tells Fox News Migrants Are Being Released ‘In Record Numbers’,12.0,ORG,0.9999909400939941,0.0,Daily Caller
84,Daily Caller Field Reporter Tells Fox News Migrants Are Being Released ‘In Record Numbers’,42.0,ORG,0.9999957084655762,34.0,Fox News
85,Kamala Harris’ Team Reportedly Panicked After Biden Gave Her Immigration Assignment,13.0,PER,0.9999819397926331,0.0,Kamala Harris
85,Kamala Harris’ Team Reportedly Panicked After Biden Gave Her Immigration Assignment,51.0,PER,0.999988853931427,46.0,Biden
86,Biden’s Pick To Lead ICE Didn’t Like Reporting Illegal Immigrants To Feds,5.0,PER,0.9999879002571106,0.0,Biden
86,Biden’s Pick To Lead ICE Didn’t Like Reporting Illegal Immigrants To Feds,24.0,ORG,0.999826192855835,21.0,ICE
86,Biden’s Pick To Lead ICE Didn’t Like Reporting Illegal Immigrants To Feds,73.0,ORG,0.9966292381286621,69.0,Feds
87,PATEL: Are Republicans A Bunch Of Racists?,5.0,LOC,0.9674294590950012,0.0,PATEL
87,PATEL: Are Republicans A Bunch Of Racists?,21.0,MISC,0.9999872446060181,11.0,Republican
88,Hundreds of Mexican Children Were Deported While The Biden Admin Finds Sponsors For Others,19.0,MISC,0.9999843835830688,12.0,Mexican
88,Hundreds of Mexican Children Were Deported While The Biden Admin Finds Sponsors For Others,58.0,PER,0.9999420046806335,53.0,Biden
89,Biden Admin Launches Ukrainian Refugee Sponsorship Program,5.0,PER,0.9949160218238831,0.0,Biden
89,Biden Admin Launches Ukrainian Refugee Sponsorship Program,30.0,MISC,0.897729754447937,21.0,Ukrainian
90,Migrants Long Stuck In Mexico Due To Trump Policies Hopeful About Biden’s Presidency,29.0,LOC,0.9999982118606567,23.0,Mexico
90,Migrants Long Stuck In Mexico Due To Trump Policies Hopeful About Biden’s Presidency,42.0,PER,0.9962461590766907,37.0,Trump
90,Migrants Long Stuck In Mexico Due To Trump Policies Hopeful About Biden’s Presidency,71.0,PER,0.9999896287918091,66.0,Biden
91,Illegal Immigrants Repeatedly Denied COVID-19 Vaccine In Florida: Report,45.0,MISC,0.9995614886283875,37.0,COVID-19
91,Illegal Immigrants Repeatedly Denied COVID-19 Vaccine In Florida: Report,64.0,LOC,0.9999945163726807,57.0,Florida
93,"The Biden Admin Is ‘Blatantly Lying’ To The American People About The Border Crisis, Former Trump Officials Say",9.0,PER,0.9999621510505676,4.0,Biden
93,"The Biden Admin Is ‘Blatantly Lying’ To The American People About The Border Crisis, Former Trump Officials Say",52.0,MISC,0.9999827146530151,44.0,American
93,"The Biden Admin Is ‘Blatantly Lying’ To The American People About The Border Crisis, Former Trump Officials Say",97.0,PER,0.9950801134109497,92.0,Trump
94,Former Trump Official Says He Warned The Biden Administration About The Border Crisis. Now It’s Here,12.0,PER,0.9856509566307068,7.0,Trump
94,Former Trump Official Says He Warned The Biden Administration About The Border Crisis. Now It’s Here,46.0,PER,0.9998559355735779,41.0,Biden
95,CNN Reporter Presses Jen Psaki On Why Media Got Access To ‘Aspirational’ Migrant Facility Instead Of ‘Problem’ Ones,3.0,ORG,0.9999910593032837,0.0,CNN
95,CNN Reporter Presses Jen Psaki On Why Media Got Access To ‘Aspirational’ Migrant Facility Instead Of ‘Problem’ Ones,30.0,PER,0.9982625246047974,21.0,Jen Psaki
98,‘Despicable!’: Sunny Hostin Blames Biden For Continuing Trump’s Border Policies,27.0,PER,0.9999731183052063,15.0,Sunny Hostin
98,‘Despicable!’: Sunny Hostin Blames Biden For Continuing Trump’s Border Policies,40.0,PER,0.999989926815033,35.0,Biden
98,‘Despicable!’: Sunny Hostin Blames Biden For Continuing Trump’s Border Policies,61.0,PER,0.9991863369941711,56.0,Trump
99,"EXCLUSIVE: House Republicans Call On Biden To Keep Title 42 In Place, Call For Briefing From CDC, DHS",16.0,ORG,0.9996919631958008,11.0,House
99,"EXCLUSIVE: House Republicans Call On Biden To Keep Title 42 In Place, Call For Briefing From CDC, DHS",27.0,MISC,0.626259446144104,17.0,Republican
99,"EXCLUSIVE: House Republicans Call On Biden To Keep Title 42 In Place, Call For Briefing From CDC, DHS",42.0,PER,0.9999863505363464,37.0,Biden
99,"EXCLUSIVE: House Republicans Call On Biden To Keep Title 42 In Place, Call For Briefing From CDC, DHS",59.0,MISC,0.9975695610046387,51.0,Title 42
99,"EXCLUSIVE: House Republicans Call On Biden To Keep Title 42 In Place, Call For Briefing From CDC, DHS",96.0,ORG,0.9999879598617554,93.0,CDC
99,"EXCLUSIVE: House Republicans Call On Biden To Keep Title 42 In Place, Call For Briefing From CDC, DHS",101.0,ORG,0.9999896883964539,98.0,DHS
100,State AG Asks Mayorkas To Stop Letting Illegal Migrants Travel Through US Airports With Arrest Warrants,8.0,ORG,0.9816460013389587,6.0,AG
100,State AG Asks Mayorkas To Stop Letting Illegal Migrants Travel Through US Airports With Arrest Warrants,22.0,PER,0.998573899269104,14.0,Mayorkas
100,State AG Asks Mayorkas To Stop Letting Illegal Migrants Travel Through US Airports With Arrest Warrants,73.0,LOC,0.9999899864196777,71.0,US
101,Biden Admin To Instate Rapid Deportations For Migrant Families Not Expelled Under Current Restrictions,5.0,PER,0.999858021736145,0.0,Biden
102,Here’s What Migrants Say About Why They’re Coming To The US Now,59.0,LOC,0.999992847442627,57.0,US
103,"Biden Needs To Acknowledge His ‘Inhumane Border Crisis,’ Republicans Say",5.0,PER,0.9999907612800598,0.0,Biden
103,"Biden Needs To Acknowledge His ‘Inhumane Border Crisis,’ Republicans Say",67.0,MISC,0.9999791383743286,57.0,Republican
104,"Mexican President Blames Biden For Border Crisis, Says He Created ‘Expectations’",7.0,MISC,0.999976634979248,0.0,Mexican
104,"Mexican President Blames Biden For Border Crisis, Says He Created ‘Expectations’",30.0,PER,0.9999839663505554,25.0,Biden
105,"EXCLUSIVE: Sen. Rubio Sends Biden Letter Slamming Decision To Pull Title 42, Enforce COVID Policies",21.0,PER,0.9999757409095764,16.0,Rubio
105,"EXCLUSIVE: Sen. Rubio Sends Biden Letter Slamming Decision To Pull Title 42, Enforce COVID Policies",33.0,PER,0.9999793767929077,28.0,Biden
105,"EXCLUSIVE: Sen. Rubio Sends Biden Letter Slamming Decision To Pull Title 42, Enforce COVID Policies",75.0,MISC,0.998319685459137,67.0,Title 42
105,"EXCLUSIVE: Sen. Rubio Sends Biden Letter Slamming Decision To Pull Title 42, Enforce COVID Policies",90.0,MISC,0.9195393323898315,85.0,COVID
106,"‘The Crisis Will Continue, And Worsen’: Immigration Experts Say Border Crisis Will Continue Despite Mexico’s Policies Limiting Migration",106.0,LOC,0.9999977350234985,100.0,Mexico
107,RNC CHAIR MCDANIEL: Biden’s Border Crisis Is No Laughing Matter,3.0,ORG,0.9998522996902466,0.0,RNC
107,RNC CHAIR MCDANIEL: Biden’s Border Crisis Is No Laughing Matter,18.0,PER,0.9999895095825195,10.0,MCDANIEL
107,RNC CHAIR MCDANIEL: Biden’s Border Crisis Is No Laughing Matter,25.0,PER,0.9999902248382568,20.0,Biden
108,White House Reportedly ‘Perplexed’ By Kamala Harris’ First Foreign Policy Trip,11.0,LOC,0.9999865889549255,0.0,White House
108,White House Reportedly ‘Perplexed’ By Kamala Harris’ First Foreign Policy Trip,51.0,PER,0.9999812245368958,38.0,Kamala Harris
109,Border City Sets Up Tents For Migrants Released By Federal Officials,11.0,LOC,0.9943265914916992,0.0,Border City
110,From ‘The Empire State’ To ‘The Exodus State’: New York Assemblyman Says It’s Not Just Cash For Illegal Immigrants Driving People Away,22.0,LOC,0.9999867081642151,10.0,Empire State
110,From ‘The Empire State’ To ‘The Exodus State’: New York Assemblyman Says It’s Not Just Cash For Illegal Immigrants Driving People Away,44.0,LOC,0.9999806880950928,32.0,Exodus State
110,From ‘The Empire State’ To ‘The Exodus State’: New York Assemblyman Says It’s Not Just Cash For Illegal Immigrants Driving People Away,55.0,LOC,0.999994158744812,47.0,New York
111,Swing-District House Dem Slams Biden’s Border Handling While Supporting His Policies,8.0,MISC,0.7688581347465515,1.0,wing-Di
111,Swing-District House Dem Slams Biden’s Border Handling While Supporting His Policies,24.0,MISC,0.9809451699256897,15.0,House Dem
111,Swing-District House Dem Slams Biden’s Border Handling While Supporting His Policies,36.0,PER,0.9999905824661255,31.0,Biden
112,Jen Psaki Avoids Saying There Is ‘A Crisis’ At The Border: ‘I Don’t Think We Need To Meet Your Bar Of What We Need To Call It’,9.0,PER,0.9999690651893616,0.0,Jen Psaki
112,Jen Psaki Avoids Saying There Is ‘A Crisis’ At The Border: ‘I Don’t Think We Need To Meet Your Bar Of What We Need To Call It’,57.0,LOC,0.9951509833335876,47.0,The Border
113,Another Poll Finds Hispanic Voters Fleeing The Democratic Party,24.0,MISC,0.9246779680252075,19.0,Hispa
113,Another Poll Finds Hispanic Voters Fleeing The Democratic Party,63.0,ORG,0.9999942779541016,47.0,Democratic Party
114,ICE Requests Additional Officers Deploy To Southern Border As Crossings Surge,3.0,ORG,0.99981689453125,0.0,ICE
115,Trump Announces Trip To ‘Lawless’ Southern Border,5.0,PER,0.9999585151672363,0.0,Trump
115,Trump Announces Trip To ‘Lawless’ Southern Border,49.0,LOC,0.9989539980888367,34.0,Southern Border
116,Joe Biden Enjoys A Bike Ride By The Beach While Southern Border Disintegrates,9.0,PER,0.9999925494194031,0.0,Joe Biden
116,Joe Biden Enjoys A Bike Ride By The Beach While Southern Border Disintegrates,41.0,LOC,0.9963880777359009,36.0,Beach
116,Joe Biden Enjoys A Bike Ride By The Beach While Southern Border Disintegrates,61.0,LOC,0.8789334297180176,48.0,Southern Bord
117,COVID-19 Infections Surge In Crowded Immigration Detention Centers,8.0,MISC,0.9997742772102356,0.0,COVID-19
118,‘It’s Everywhere’: Migrants Say They’re Not Responsible For Spreading COVID-19,78.0,MISC,0.9999848008155823,70.0,COVID-19
119,"Watch As Migrants Flood The Border, Say Crime In Venezuela Is Too Severe",58.0,LOC,0.9999970197677612,49.0,Venezuela
120,"‘Dead On Arrival’: Sen. Cotton Says Biden Immigration Bill Too ‘Far To The Left,’ Won’t Become Law",30.0,PER,0.9999955892562866,24.0,Cotton
120,"‘Dead On Arrival’: Sen. Cotton Says Biden Immigration Bill Too ‘Far To The Left,’ Won’t Become Law",41.0,PER,0.7082132697105408,36.0,Biden
121,"Kamala Harris Laughs At Serious Question, Gazes Up To Polish President For Help Answering It",13.0,PER,0.9999629855155945,0.0,Kamala Harris
121,"Kamala Harris Laughs At Serious Question, Gazes Up To Polish President For Help Answering It",59.0,MISC,0.9999746084213257,54.0,Polis
122,Tens Of Thousands Of Migrant Children Remain In Federal Custody Across The US,77.0,LOC,0.9999879598617554,75.0,US
123,"EXCLUSIVE: Mother, 3-Year-Old Son Nearly Swept Away As Illegals Continue Streaming Across Rio Grande",100.0,LOC,0.999908447265625,90.0,Rio Grande
124,Biden To Maintain Trump Administration’s Low Refugee Cap Despite Promise To Increase It: Report,5.0,PER,0.9999769330024719,0.0,Biden
124,Biden To Maintain Trump Administration’s Low Refugee Cap Despite Promise To Increase It: Report,23.0,PER,0.996731162071228,18.0,Trump
125,Sen Kennedy Unplugged: What The Biden Administration Is Doing Wrong At The Border And How To Fix It,11.0,PER,0.8383580446243286,0.0,Sen Kennedy
125,Sen Kennedy Unplugged: What The Biden Administration Is Doing Wrong At The Border And How To Fix It,37.0,PER,0.999936580657959,32.0,Biden
127,Sending More Aid To Central America Won’t Necessarily Stop Migrants From Coming To The US,35.0,LOC,0.9999902844429016,20.0,Central America
