id,title,end,entity_group,ner_score,start,word,linked_entity,linked_entity_language,nel_score,wikidata_id
24,SCOTUS Sides With Biden Over Trump's 'Remain In  [START] Mexico [END] ' Policy,54.0,LOC,0.9999700784683228,48.0,Mexico,Mexico,en,-0.1229552254080772,Q96
25,Humanitarian Crisis At The Border Is Worsening But  [START] Biden [END]  Doesn't Care,56.0,PER,0.9999899864196776,51.0,Biden,Joe Biden,en,-0.0987415984272956,Q6279
26,"In  [START] South Texas [END] , The Border Crisis Is Becoming A Constitutional Crisis",14.0,LOC,0.9999657869338988,3.0,South Texas,South Texas,en,-0.090419590473175,Q2393494
27,"Left Unchecked,  [START] Biden [END] ’s Border Crisis Will Become The New Normal",21.0,PER,0.9999787211418152,16.0,Biden,Joe Biden,en,-0.1802062839269638,Q6279
28,"On Remote Texas Borderland, The World Is Crossing The  [START] Rio Grande [END] ",64.0,LOC,0.9966731071472168,54.0,Rio Grande,Rio Grande,en,-0.1026200503110885,Q160636
29,"No Matter If  [START] Title 42 [END]  Stays Or Goes, A Massive Migrant Influx Is Coming",21.0,MISC,0.9853109121322632,13.0,Title 42,Title 42,en,-0.1912664771080017,Q7810086
30,The  [START] Biden [END]  Border Crisis Is Real And It’s About To Get Much Worse,9.0,MISC,0.9962770938873292,4.0,Biden,Joe Biden,en,-0.1521733254194259,Q6279
31," [START] Guatemala [END]  President Blames Biden For Border Crisis, Kamala Harris Deflects, Blaming Climate Change",9.0,LOC,0.9999922513961792,0.0,Guatemala,Guatemala,en,-0.121808111667633,Q774
31,"Guatemala President Blames  [START] Biden [END]  For Border Crisis, Kamala Harris Deflects, Blaming Climate Change",32.0,PER,0.9999879002571106,27.0,Biden,Joe Biden,en,-0.0975988805294036,Q6279
31,"Guatemala President Blames Biden For Border Crisis,  [START] Kamala Harris [END]  Deflects, Blaming Climate Change",65.0,PER,0.9999788403511048,52.0,Kamala Harris,Kamala Harris,en,-0.1314393430948257,Q10853588
32,The ‘Root Causes’ Of The Migrant Crisis Are  [START] Biden [END] ’s Border Policies,49.0,PER,0.999976396560669,44.0,Biden,Joe Biden,en,-0.0791693404316902,Q6279
33, [START] Biden [END]  Ramps Up Border Patrol Whipping Lie: 'It's Outrageous',5.0,PER,0.9999854564666748,0.0,Biden,Joe Biden,en,-0.1002310141921043,Q6279
33,Biden Ramps Up  [START] Border Patrol [END]  Whipping Lie: 'It's Outrageous',28.0,ORG,0.9919381141662598,15.0,Border Patrol,United States Border Patrol,en,-0.1254731714725494,Q187954
34,How  [START] American [END] s Are Rescuing The People Biden Left Behind In Afghanistan,12.0,MISC,0.9986786246299744,4.0,American,United States,en,-0.1707745790481567,Q30
34,How Americans Are Rescuing The People  [START] Biden [END]  Left Behind In Afghanistan,43.0,PER,0.9999893307685852,38.0,Biden,Joe Biden,en,-0.1120465993881225,Q6279
34,How Americans Are Rescuing The People Biden Left Behind In  [START] Afghanistan [END] ,70.0,LOC,0.9999954700469972,59.0,Afghanistan,Afghanistan,en,-0.1473215818405151,Q889
35,DeSantis Blocks  [START] Biden [END]  Admin's International Child-Trafficking Scheme In Florida,21.0,PER,0.9998551607131958,16.0,Biden,Joe Biden,en,-0.0861061140894889,Q6279
35,DeSantis Blocks Biden Admin's International Child-Trafficking Scheme In  [START] Florida [END] ,79.0,LOC,0.9999945163726808,72.0,Florida,Florida,en,-0.1166677176952362,Q812
37, [START] Kamala [END]  Called Migrant Camps An 'Abuse' Until She Took Charge,6.0,PER,0.9998835325241088,0.0,Kamala,Kamala (wrestler),en,-0.2071218490600586,Q983418
39,The Bishops' Misapplication Of  [START] Catholic [END]  Charity On Our Southern Border,39.0,MISC,0.9999881982803344,31.0,Catholic,Catholic Church,en,-0.1042230948805809,Q9592
40, [START] Biden [END] 's Open Border Policies Are Deadly,5.0,PER,0.9999862909317015,0.0,Biden,Joe Biden,en,-0.1018358841538429,Q6279
41,Border States Need To Override  [START] Biden [END]  And Secure Their Own Borders,36.0,PER,0.999960958957672,31.0,Biden,Joe Biden,en,-0.1653819233179092,Q6279
42,Illegal Immigration Is About To Surge.  [START] Biden [END] 's Plan Is To Open The Border,44.0,PER,0.9999886751174928,39.0,Biden,Joe Biden,en,-0.1066872105002403,Q6279
43,Lawsuit: Universities Are Helping Foreign Students Illegally Enter The  [START] U.S [END] .,74.0,LOC,0.99992436170578,71.0,U.S,United States,en,-0.1168858036398887,Q30
44,More Than 221K Migrants Caught Illegally Crossing  [START] U.S [END] . Border In March,53.0,LOC,0.9999608993530272,50.0,U.S,United States,en,-0.1229781359434127,Q30
45, [START] Biden [END]  Admin Hiding Flights Scattering Illegal Migrants Around The Country,5.0,PER,0.9997957348823548,0.0,Biden,Joe Biden,en,-0.1028793379664421,Q6279
46,Gov.  [START] Abbott [END]  Is Staging Political Theater As The Border Explodes,11.0,PER,0.9999818205833436,5.0,Abbott,Tony Abbott,en,-0.4244103133678436,Q348577
47,Debunking  [START] Biden [END] 's SOTU Border Baloney Line By Line,15.0,PER,0.9999771118164062,10.0,Biden,Joe Biden,en,-0.0766119733452797,Q6279
48," [START] Biden [END]  Weakens Border As Illegal Crossings, Cartel Unrest Grows",5.0,PER,0.9999788403511048,0.0,Biden,Joe Biden,en,-0.2281443029642105,Q6279
50, [START] Biden [END]  Is The Worst Left-Wing Culture Warrior Since Obama,5.0,PER,0.9999946355819702,0.0,Biden,Joe Biden,en,-0.0782093629240989,Q6279
50,Biden Is The Worst Left-Wing Culture Warrior Since  [START] Obama [END] ,56.0,PER,0.999976634979248,51.0,Obama,Barack Obama,en,-0.0930298417806625,Q76
51,Afghan Family Abandoned By  [START] Biden [END]  Finally Reunited With American Dad,32.0,PER,0.9999912977218628,27.0,Biden,Joe Biden,en,-0.0781806781888008,Q6279
51,Afghan Family Abandoned By Biden Finally Reunited With  [START] American [END]  Dad,63.0,MISC,0.9998782873153688,55.0,American,United States,en,-0.2007834166288375,Q30
52, [START] Biden [END] 's Border Circus Surpassed 2 Million Arrests In 2021 -- And He's Going For A Second Record-Breaking Year,5.0,PER,0.9999826550483704,0.0,Biden,Joe Biden,en,-0.1235050335526466,Q6279
53,"To Secure The Border,  [START] Texas [END]  Gov. Greg Abbott Should Shut It Down",27.0,LOC,0.9999914169311525,22.0,Texas,Texas,en,-0.1089349091053009,Q1439
53,"To Secure The Border, Texas Gov.  [START] Greg Abbott [END]  Should Shut It Down",44.0,PER,0.9999880790710448,33.0,Greg Abbott,Greg Abbott,en,-0.088508628308773,Q5605224
55,Poll Finds All Those People Moving To  [START] Texas [END]  Aren't Voting For Democrats,43.0,LOC,0.9999929666519164,38.0,Texas,Texas,en,-0.110539823770523,Q1439
55,Poll Finds All Those People Moving To Texas Aren't Voting For  [START] Democrat [END] s,70.0,MISC,0.9999881982803344,62.0,Democrat,Democratic Party (United States),en,-0.1143393665552139,Q29552
58, [START] Australia [END]  Admits Letting Djokovic Stay Would've Undermined Police State,9.0,LOC,0.9999974966049194,0.0,Australia,Australia,en,-0.307246446609497,Q408
58,Australia Admits Letting  [START] Djokovic [END]  Stay Would've Undermined Police State,33.0,PER,0.9999892115592957,25.0,Djokovic,Novak Djokovic,en,-0.1869026273488998,Q5812
59,"Mass Immigration Turned  [START] California [END]  Blue, And Your State Might Be Next",34.0,LOC,0.9999903440475464,24.0,California,California,en,-0.2299203723669052,Q99
60, [START] United Nations [END]  Grantee Uses U.S. Tax Dollars To Fund Illegal Immigration,14.0,ORG,0.9999924898147584,0.0,United Nations,United Nations,en,-0.1207086220383644,Q1065
60,United Nations Grantee Uses  [START] U.S. [END]  Tax Dollars To Fund Illegal Immigration,32.0,LOC,0.9990546703338624,28.0,US.,United States,en,-0.1459392011165619,Q30
61,"If  [START] Biden [END]  Cared About Border Security, ICE Would Arrest More Illegals",8.0,PER,0.9999781847000122,3.0,Biden,Joe Biden,en,-0.0755289122462272,Q6279
61,"If Biden Cared About Border Security,  [START] ICE [END]  Would Arrest More Illegals",41.0,ORG,0.9998047351837158,38.0,ICE,Interstate Commerce Commission,en,-0.42041015625,Q1647715
62,7 Media Lies  [START] Katie Couric [END]  Would Decry If She Really Hated Disinformation,25.0,PER,0.9999920129776,13.0,Katie Couric,Katie Couric,en,-0.138332724571228,Q230739
65, [START] Biden [END]  Admin Released A Border-Crossing Terrorist Suspect Into The U.S.,5.0,PER,0.9999558925628662,0.0,Biden,Joe Biden,en,-0.1130461618304252,Q6279
65,Biden Admin Released A Border-Crossing Terrorist Suspect Into The  [START] U.S [END] .,69.0,LOC,0.9999729990959167,66.0,U.S,United States,en,-0.1242002621293068,Q30
66, [START] Kamala Harris [END]  Laughs When Asked If She Plans To Tour Southern Border,13.0,PER,0.9999697804450988,0.0,Kamala Harris,Kamala Harris,en,-0.1397271901369094,Q10853588
68, [START] Democratic Rep [END] . Blasts Federal Government For Leaving Border Patrol Agents In The Dust Amid Border Crisis,14.0,MISC,0.9559671878814696,0.0,Democratic Rep,Democratic Party (United States),en,-0.3571332395076751,Q29552
69,"Illegal Immigrants Break Into  [START] Texas [END]  Home, Steal Guns, Ammo And Food",35.0,LOC,0.999991536140442,30.0,Texas,Texas,en,-0.1816762685775756,Q1439
70, [START] ICE [END]  Officials Made The Lowest Number Of Arrests In At Least A Decade: REPORT,3.0,ORG,0.999753713607788,0.0,ICE,Interstate Commerce Commission,en,-0.4339122772216797,Q1647715
71,‘On The Move Again’ —  [START] Biden [END]  Focuses Joint Session Address On Jobs And Families,27.0,PER,0.9999908208847046,22.0,Biden,Joe Biden,en,-0.0964660570025444,Q6279
72,"EXCLUSIVE: ‘It’s Not Fair To Us, The Taxpayers’:  [START] Del Rio [END]  Residents Blast Biden On Handling Of The Border Crisis",56.0,LOC,0.9999196529388428,49.0,Del Rio,"Del Rio, Texas",en,-0.2867212295532226,Q970792
72,"EXCLUSIVE: ‘It’s Not Fair To Us, The Taxpayers’: Del Rio Residents Blast  [START] Biden [END]  On Handling Of The Border Crisis",78.0,PER,0.99996817111969,73.0,Biden,Joe Biden,en,-0.1105135381221771,Q6279
73,"Special Envoy For  [START] Haiti [END]  Resigns Over Biden’s ‘Inhumane, Counterproductive Decision To Deport’ Haitians",23.0,LOC,0.9999820590019226,18.0,Haiti,Haiti,en,-0.1326675862073898,Q790
73,"Special Envoy For Haiti Resigns Over  [START] Biden [END] ’s ‘Inhumane, Counterproductive Decision To Deport’ Haitians",42.0,PER,0.9999873042106628,37.0,Biden,Joe Biden,en,-0.0780049040913581,Q6279
73,"Special Envoy For Haiti Resigns Over Biden’s ‘Inhumane, Counterproductive Decision To Deport’  [START] Hai [END] tians",97.0,MISC,0.9953659772872924,94.0,Hai,Haiti,en,-0.4487435817718506,Q790
74,Gov.  [START] Abbott [END]  Approves Using State Vehicles As ‘Steel Barrier’ To Stop Surge In Border Crossings,11.0,PER,0.9999802112579346,5.0,Abbott,Tony Abbott,en,-0.3132818043231964,Q348577
75,56  [START] House [END]  Republicans Call On Biden To Fire Harris From Border Crisis Role,8.0,ORG,0.999610722064972,3.0,House,United States House of Representatives,en,-0.1389450579881668,Q11701
75,56 House  [START] Republican [END] s Call On Biden To Fire Harris From Border Crisis Role,19.0,MISC,0.9743503332138062,9.0,Republican,Republican Party (United States),en,-0.1156242042779922,Q29468
75,56 House Republicans Call On  [START] Biden [END]  To Fire Harris From Border Crisis Role,34.0,PER,0.9999854564666748,29.0,Biden,Joe Biden,en,-0.0872493609786033,Q6279
76,EXCLUSIVE:  [START] Guatemala [END] n President Says Biden‘s Border ‘Confusion’ Is Encouraging Smugglers To Exploit Children,20.0,MISC,0.9998989105224608,11.0,Guatemala,Guatemala,en,-0.1633110046386718,Q774
76,EXCLUSIVE: Guatemalan President Says  [START] Biden [END] ‘s Border ‘Confusion’ Is Encouraging Smugglers To Exploit Children,42.0,PER,0.9999915957450868,37.0,Biden,Joe Biden,en,-0.0844876542687416,Q6279
78,SMUGGLER’S PARADISE: How  [START] American [END]  Teenagers Are Being Lured Into Human Trafficking On Social Media,33.0,MISC,0.9999680519104004,25.0,American,United States,en,-0.1840337216854095,Q30
79,Video Appears To Show Border Agents On Horseback Herding  [START] Haitian [END]  Migrants,64.0,MISC,0.952959418296814,57.0,Haitian,Haitians,en,-0.1728354394435882,Q4131845
80,Immigration Attorneys Refuse To Be ‘Complicit’ In  [START] Biden [END] ’s Restarted Trump-Era Migrant Removal Program,55.0,PER,0.9999849796295166,50.0,Biden,Joe Biden,en,-0.0788350626826286,Q6279
80,Immigration Attorneys Refuse To Be ‘Complicit’ In Biden’s Restarted  [START] Trump-Era [END]  Migrant Removal Program,77.0,MISC,0.9994946718215942,68.0,Trump-Era,Presidency of Donald Trump,en,-0.2110710889101028,Q27809653
81,"‘They’re Sick Of The Country’: Number Of  [START] Russian [END] s Seeking Asylum In The US Jumps Amid Pandemic, Protests",48.0,MISC,0.9999849796295166,41.0,Russian,Russians,en,-0.1330334991216659,Q49542
81,"‘They’re Sick Of The Country’: Number Of Russians Seeking Asylum In The  [START] US [END]  Jumps Amid Pandemic, Protests",74.0,LOC,0.9999879598617554,72.0,US,United States,en,-0.1372527927160263,Q30
82,What Will It Mean For The Border If  [START] Biden [END]  Ends The Immediate Expulsion Of Migrants?,41.0,PER,0.999991774559021,36.0,Biden,Joe Biden,en,-0.0942724049091339,Q6279
83, [START] Biden [END] : Afghan Refugees ‘Are All Over The Country. I’m Sure I Will Be Seeing Some Of Them’,5.0,PER,0.9999895691871644,0.0,Biden,Joe Biden,en,-0.1285193413496017,Q6279
83,Biden:  [START] Afghan [END]  Refugees ‘Are All Over The Country. I’m Sure I Will Be Seeing Some Of Them’,13.0,MISC,0.9999616742134094,7.0,Afghan,Afghanistan,sv,-0.3434763550758362,Q889
84, [START] Daily Caller [END]  Field Reporter Tells Fox News Migrants Are Being Released ‘In Record Numbers’,12.0,ORG,0.999990940093994,0.0,Daily Caller,The Daily Caller,en,-0.1082130894064903,Q7728625
84,Daily Caller Field Reporter Tells  [START] Fox News [END]  Migrants Are Being Released ‘In Record Numbers’,42.0,ORG,0.9999957084655762,34.0,Fox News,Fox News,en,-0.0949499383568763,Q186068
85, [START] Kamala Harris [END] ’ Team Reportedly Panicked After Biden Gave Her Immigration Assignment,13.0,PER,0.9999819397926332,0.0,Kamala Harris,Kamala Harris,en,-0.1543258875608444,Q10853588
85,Kamala Harris’ Team Reportedly Panicked After  [START] Biden [END]  Gave Her Immigration Assignment,51.0,PER,0.999988853931427,46.0,Biden,Joe Biden,en,-0.1855434775352478,Q6279
86, [START] Biden [END] ’s Pick To Lead ICE Didn’t Like Reporting Illegal Immigrants To Feds,5.0,PER,0.9999879002571106,0.0,Biden,Joe Biden,de,-0.2141218930482864,Q6279
87,PATEL: Are  [START] Republican [END] s A Bunch Of Racists?,21.0,MISC,0.999987244606018,11.0,Republican,Republican Party (United States),en,-0.135229542851448,Q29468
88,Hundreds of  [START] Mexican [END]  Children Were Deported While The Biden Admin Finds Sponsors For Others,19.0,MISC,0.9999843835830688,12.0,Mexican,Mexicans,en,-0.2017021477222442,Q1209676
88,Hundreds of Mexican Children Were Deported While The  [START] Biden [END]  Admin Finds Sponsors For Others,58.0,PER,0.9999420046806335,53.0,Biden,Joe Biden,en,-0.0793541818857193,Q6279
89, [START] Biden [END]  Admin Launches Ukrainian Refugee Sponsorship Program,5.0,PER,0.9949160218238832,0.0,Biden,Joe Biden,en,-0.1011383533477783,Q6279
90,Migrants Long Stuck In  [START] Mexico [END]  Due To Trump Policies Hopeful About Biden’s Presidency,29.0,LOC,0.9999982118606568,23.0,Mexico,Mexico,en,-0.1432357728481292,Q96
90,Migrants Long Stuck In Mexico Due To  [START] Trump [END]  Policies Hopeful About Biden’s Presidency,42.0,PER,0.9962461590766908,37.0,Trump,Donald Trump,en,-0.1390796601772308,Q22686
90,Migrants Long Stuck In Mexico Due To Trump Policies Hopeful About  [START] Biden [END] ’s Presidency,71.0,PER,0.9999896287918092,66.0,Biden,Joe Biden,en,-0.0943707004189491,Q6279
91,Illegal Immigrants Repeatedly Denied COVID-19 Vaccine In  [START] Florida [END] : Report,64.0,LOC,0.9999945163726808,57.0,Florida,Florida,en,-0.1738442182540893,Q812
93,"The  [START] Biden [END]  Admin Is ‘Blatantly Lying’ To The American People About The Border Crisis, Former Trump Officials Say",9.0,PER,0.9999621510505676,4.0,Biden,Joe Biden,en,-0.0917505994439125,Q6279
93,"The Biden Admin Is ‘Blatantly Lying’ To The  [START] American [END]  People About The Border Crisis, Former Trump Officials Say",52.0,MISC,0.9999827146530152,44.0,American,United States,en,-0.160275787115097,Q30
93,"The Biden Admin Is ‘Blatantly Lying’ To The American People About The Border Crisis, Former  [START] Trump [END]  Officials Say",97.0,PER,0.9950801134109496,92.0,Trump,Donald Trump,en,-0.1319814026355743,Q22686
94,Former  [START] Trump [END]  Official Says He Warned The Biden Administration About The Border Crisis. Now It’s Here,12.0,PER,0.9856509566307068,7.0,Trump,Donald Trump,en,-0.1074019521474838,Q22686
94,Former Trump Official Says He Warned The  [START] Biden [END]  Administration About The Border Crisis. Now It’s Here,46.0,PER,0.999855935573578,41.0,Biden,Joe Biden,en,-0.0796146914362907,Q6279
95, [START] CNN [END]  Reporter Presses Jen Psaki On Why Media Got Access To ‘Aspirational’ Migrant Facility Instead Of ‘Problem’ Ones,3.0,ORG,0.9999910593032836,0.0,CNN,CNN,en,-0.1369423866271972,Q48340
95,CNN Reporter Presses  [START] Jen Psaki [END]  On Why Media Got Access To ‘Aspirational’ Migrant Facility Instead Of ‘Problem’ Ones,30.0,PER,0.9982625246047974,21.0,Jen Psaki,Jen Psaki,en,-0.1082679331302642,Q12066523
98,‘Despicable!’:  [START] Sunny Hostin [END]  Blames Biden For Continuing Trump’s Border Policies,27.0,PER,0.9999731183052064,15.0,Sunny Hostin,Sunny Hostin,en,-0.1092847660183906,Q7640700
98,‘Despicable!’: Sunny Hostin Blames  [START] Biden [END]  For Continuing Trump’s Border Policies,40.0,PER,0.999989926815033,35.0,Biden,Joe Biden,en,-0.0959783717989921,Q6279
98,‘Despicable!’: Sunny Hostin Blames Biden For Continuing  [START] Trump [END] ’s Border Policies,61.0,PER,0.9991863369941713,56.0,Trump,Donald Trump,en,-0.1018024832010269,Q22686
99,"EXCLUSIVE:  [START] House [END]  Republicans Call On Biden To Keep Title 42 In Place, Call For Briefing From CDC, DHS",16.0,ORG,0.9996919631958008,11.0,House,United States House of Representatives,en,-0.1346704214811325,Q11701
99,"EXCLUSIVE: House Republicans Call On  [START] Biden [END]  To Keep Title 42 In Place, Call For Briefing From CDC, DHS",42.0,PER,0.9999863505363464,37.0,Biden,Joe Biden,en,-0.1002830192446708,Q6279
99,"EXCLUSIVE: House Republicans Call On Biden To Keep  [START] Title 42 [END]  In Place, Call For Briefing From CDC, DHS",59.0,MISC,0.9975695610046388,51.0,Title 42,Title 42 of the United States Code,en,-0.1317870467901229,Q7810086
99,"EXCLUSIVE: House Republicans Call On Biden To Keep Title 42 In Place, Call For Briefing From  [START] CDC [END] , DHS",96.0,ORG,0.9999879598617554,93.0,CDC,Centers for Disease Control and Prevention,en,-0.1853765845298767,Q583725
99,"EXCLUSIVE: House Republicans Call On Biden To Keep Title 42 In Place, Call For Briefing From CDC,  [START] DHS [END] ",101.0,ORG,0.999989688396454,98.0,DHS,United States Department of Homeland Security,en,-0.1856830269098281,Q11231
100,State  [START] AG [END]  Asks Mayorkas To Stop Letting Illegal Migrants Travel Through US Airports With Arrest Warrants,8.0,ORG,0.9816460013389589,6.0,AG,United States Army Adjutant General's Corps,en,-0.4625485241413116,Q7889433
100,State AG Asks  [START] Mayorkas [END]  To Stop Letting Illegal Migrants Travel Through US Airports With Arrest Warrants,22.0,PER,0.998573899269104,14.0,Mayorkas,Mayorkas,en,-0.3404736816883087,Q4714600
100,State AG Asks Mayorkas To Stop Letting Illegal Migrants Travel Through  [START] US [END]  Airports With Arrest Warrants,73.0,LOC,0.9999899864196776,71.0,US,United States,en,-0.115740917623043,Q30
101, [START] Biden [END]  Admin To Instate Rapid Deportations For Migrant Families Not Expelled Under Current Restrictions,5.0,PER,0.999858021736145,0.0,Biden,Joe Biden,en,-0.0758793726563453,Q6279
102,Here’s What Migrants Say About Why They’re Coming To The  [START] US [END]  Now,59.0,LOC,0.999992847442627,57.0,US,United States,en,-0.2567372620105743,Q30
103," [START] Biden [END]  Needs To Acknowledge His ‘Inhumane Border Crisis,’ Republicans Say",5.0,PER,0.9999907612800598,0.0,Biden,Joe Biden,en,-0.0885015055537223,Q6279
103,"Biden Needs To Acknowledge His ‘Inhumane Border Crisis,’  [START] Republican [END] s Say",67.0,MISC,0.9999791383743286,57.0,Republican,Republican Party (United States),en,-0.1087869554758071,Q29468
104," [START] Mexican [END]  President Blames Biden For Border Crisis, Says He Created ‘Expectations’",7.0,MISC,0.999976634979248,0.0,Mexican,Mexico,en,-0.1441350579261779,Q96
104,"Mexican President Blames  [START] Biden [END]  For Border Crisis, Says He Created ‘Expectations’",30.0,PER,0.9999839663505554,25.0,Biden,Joe Biden,en,-0.0825587436556816,Q6279
105,"EXCLUSIVE: Sen. Rubio Sends  [START] Biden [END]  Letter Slamming Decision To Pull Title 42, Enforce COVID Policies",33.0,PER,0.9999793767929076,28.0,Biden,Joe Biden,en,-0.0770762041211128,Q6279
105,"EXCLUSIVE: Sen. Rubio Sends Biden Letter Slamming Decision To Pull  [START] Title 42 [END] , Enforce COVID Policies",75.0,MISC,0.998319685459137,67.0,Title 42,Title 42 of the United States Code,en,-0.1573078334331512,Q7810086
106,"‘The Crisis Will Continue, And Worsen’: Immigration Experts Say Border Crisis Will Continue Despite  [START] Mexico [END] ’s Policies Limiting Migration",106.0,LOC,0.9999977350234984,100.0,Mexico,Mexico,en,-0.1041934862732887,Q96
